order, degree_x, degree_y, coefficient, term
1, 1, 0, 1, X
1, 0, 1, 1, Y
2, 1, 1, 1 / 2, "[X, Y]"
3, 2, 1, 1 / 12, "[X, [X, Y]]"
3, 1, 2, 1 / 12, "[[X, Y], Y]"
4, 2, 2, 1 / 24, "[X, [[X, Y], Y]]"
5, 4, 1, -1 / 720, "[X, [X, [X, [X, Y]]]]"
5, 3, 2, 1 / 180, "[X, [X, [[X, Y], Y]]]"
5, 3, 2, 1 / 360, "[[X, [X, Y]], [X, Y]]"
5, 2, 3, 1 / 180, "[X, [[[X, Y], Y], Y]]"
5, 2, 3, 1 / 120, "[[X, Y], [[X, Y], Y]]"
5, 1, 4, -1 / 720, "[[[[X, Y], Y], Y], Y]"
6, 4, 2, -1 / 1440, "[X, [X, [X, [[X, Y], Y]]]]"
6, 4, 2, 1 / 720, "[X, [[X, [X, Y]], [X, Y]]]"
6, 3, 3, 1 / 360, "[X, [X, [[[X, Y], Y], Y]]]"
6, 3, 3, 1 / 240, "[X, [[X, Y], [[X, Y], Y]]]"
6, 2, 4, -1 / 1440, "[X, [[[[X, Y], Y], Y], Y]]"
7, 6, 1, 1 / 30240, "[X, [X, [X, [X, [X, [X, Y]]]]]]"
7, 5, 2, -1 / 5040, "[X, [X, [X, [X, [[X, Y], Y]]]]]"
7, 5, 2, 1 / 10080, "[X, [X, [[X, [X, Y]], [X, Y]]]]"
7, 4, 3, 1 / 3780, "[X, [X, [X, [[[X, Y], Y], Y]]]]"
7, 5, 2, 1 / 10080, "[[X, [X, [X, Y]]], [X, [X, Y]]]"
7, 4, 3, 1 / 1680, "[X, [X, [[X, Y], [[X, Y], Y]]]]"
7, 4, 3, 1 / 1260, "[X, [[X, [[X, Y], Y]], [X, Y]]]"
7, 3, 4, 1 / 3780, "[X, [X, [[[[X, Y], Y], Y], Y]]]"
7, 4, 3, 1 / 2016, "[[X, [X, Y]], [X, [[X, Y], Y]]]"
7, 4, 3, -1 / 5040, "[[[X, [X, Y]], [X, Y]], [X, Y]]"
7, 3, 4, 13 / 15120, "[X, [[X, Y], [[[X, Y], Y], Y]]]"
7, 3, 4, 1 / 10080, "[[X, [[X, Y], Y]], [[X, Y], Y]]"
7, 3, 4, -1 / 1512, "[[X, [[[X, Y], Y], Y]], [X, Y]]"
7, 2, 5, -1 / 5040, "[X, [[[[[X, Y], Y], Y], Y], Y]]"
7, 3, 4, 1 / 1260, "[[X, Y], [[X, Y], [[X, Y], Y]]]"
7, 2, 5, -1 / 2016, "[[X, Y], [[[[X, Y], Y], Y], Y]]"
7, 2, 5, -1 / 5040, "[[[X, Y], Y], [[[X, Y], Y], Y]]"
7, 1, 6, 1 / 30240, "[[[[[[X, Y], Y], Y], Y], Y], Y]"
8, 6, 2, 1 / 60480, "[X, [X, [X, [X, [X, [[X, Y], Y]]]]]]"
8, 6, 2, -1 / 15120, "[X, [X, [X, [[X, [X, Y]], [X, Y]]]]]"
8, 5, 3, -1 / 10080, "[X, [X, [X, [X, [[[X, Y], Y], Y]]]]]"
8, 6, 2, 1 / 20160, "[X, [[X, [X, [X, Y]]], [X, [X, Y]]]]"
8, 5, 3, -1 / 20160, "[X, [X, [X, [[X, Y], [[X, Y], Y]]]]]"
8, 5, 3, 1 / 2520, "[X, [X, [[X, [[X, Y], Y]], [X, Y]]]]"
8, 4, 4, 23 / 120960, "[X, [X, [X, [[[[X, Y], Y], Y], Y]]]]"
8, 5, 3, 1 / 4032, "[X, [[X, [X, Y]], [X, [[X, Y], Y]]]]"
8, 5, 3, -1 / 10080, "[X, [[[X, [X, Y]], [X, Y]], [X, Y]]]"
8, 4, 4, 13 / 30240, "[X, [X, [[X, Y], [[[X, Y], Y], Y]]]]"
8, 4, 4, 1 / 20160, "[X, [[X, [[X, Y], Y]], [[X, Y], Y]]]"
8, 4, 4, -1 / 3024, "[X, [[X, [[[X, Y], Y], Y]], [X, Y]]]"
8, 3, 5, -1 / 10080, "[X, [X, [[[[[X, Y], Y], Y], Y], Y]]]"
8, 4, 4, 1 / 2520, "[X, [[X, Y], [[X, Y], [[X, Y], Y]]]]"
8, 3, 5, -1 / 4032, "[X, [[X, Y], [[[[X, Y], Y], Y], Y]]]"
8, 3, 5, -1 / 10080, "[X, [[[X, Y], Y], [[[X, Y], Y], Y]]]"
8, 2, 6, 1 / 60480, "[X, [[[[[[X, Y], Y], Y], Y], Y], Y]]"
9, 8, 1, -1 / 1209600, "[X, [X, [X, [X, [X, [X, [X, [X, Y]]]]]]]]"
9, 7, 2, 1 / 151200, "[X, [X, [X, [X, [X, [X, [[X, Y], Y]]]]]]]"
9, 7, 2, -1 / 100800, "[X, [X, [X, [X, [[X, [X, Y]], [X, Y]]]]]]"
9, 6, 3, -1 / 56700, "[X, [X, [X, [X, [X, [[[X, Y], Y], Y]]]]]]"
9, 6, 3, -1 / 43200, "[X, [X, [X, [X, [[X, Y], [[X, Y], Y]]]]]]"
9, 6, 3, 1 / 75600, "[X, [X, [X, [[X, [[X, Y], Y]], [X, Y]]]]]"
9, 5, 4, 1 / 75600, "[X, [X, [X, [X, [[[[X, Y], Y], Y], Y]]]]]"
9, 7, 2, 1 / 302400, "[[X, [X, [X, [X, Y]]]], [X, [X, [X, Y]]]]"
9, 6, 3, 1 / 67200, "[X, [X, [[X, [X, Y]], [X, [[X, Y], Y]]]]]"
9, 6, 3, 1 / 43200, "[X, [X, [[[X, [X, Y]], [X, Y]], [X, Y]]]]"
9, 5, 4, 11 / 302400, "[X, [X, [X, [[X, Y], [[[X, Y], Y], Y]]]]]"
9, 6, 3, 1 / 25200, "[X, [[X, [X, [[X, Y], Y]]], [X, [X, Y]]]]"
9, 5, 4, 11 / 201600, "[X, [X, [[X, [[X, Y], Y]], [[X, Y], Y]]]]"
9, 5, 4, 11 / 151200, "[X, [X, [[X, [[[X, Y], Y], Y]], [X, Y]]]]"
9, 4, 5, 1 / 75600, "[X, [X, [X, [[[[[X, Y], Y], Y], Y], Y]]]]"
